I,c
8.50,0.4
8.50,0.4
8.50,0.0
8.50,0.3
8.50,0.2
8.99,2.4
8.99,0.9
8.99,0.7
8.99,1.1
8.99,1.3
9.48,0.9
9.48,0.7
9.48,0.7
9.48,1.3
9.48,0.9
10.02,0.7
10.02,1.2
10.02,1.3
10.02,0.5
10.02,2.0
10.51,2.0
10.51,2.9
10.51,1.7
10.51,1.2
10.51,2.0
11.00,2.8
11.00,4.1
11.00,2.6
11.00,2.6
11.00,1.6
11.49,2.0
11.49,3.1
11.49,1.9
11.49,3.3
11.49,2.0
11.97,2.3
11.97,0.9
11.97,4.1
11.97,1.8
11.97,3.8
12.51,6.5
12.51,5.0
12.51,6.6
12.51,5.5
12.51,6.0
13.00,10.4
13.00,9.7
13.00,11.4
13.00,10.7
13.00,13.4
13.49,25.6
13.49,28.9
13.49,26.3
13.49,23.3
13.49,27.0
13.73,41.0
13.73,41.7
13.73,42.2
13.73,42.8
13.73,43.0
13.73,42.1
13.73,41.7
13.73,34.7
13.98,69.3
13.98,65.7
13.98,70.3
13.98,64.7
13.98,73.4
13.98,65.9
13.98,70.9
13.98,68.2
14.27,126.5
14.27,131.7
14.27,133.3
14.27,119.5
14.27,120.8
14.27,129.6
14.27,126.1
14.27,125.0
14.52,212.8
14.52,202.5
14.52,202.7
14.52,199.5
14.52,214.5
14.52,208.4
14.52,216.3
14.52,219.1
14.76,382.7
14.76,401.7
14.76,374.7
14.76,386.1
14.76,376.2
14.76,381.6
14.76,383.7
14.76,393.3
15.00,725.6
15.00,699.0
15.00,723.3
15.00,697.9
15.00,697.6
15.00,695.7
15.00,732.6
15.00,729.4
15.25,1480.4
15.25,1486.7
15.25,1468.7
15.25,1431.8
15.25,1396.1
15.25,1441.8
15.25,1475.7
15.25,1474.8
15.49,3483.9
15.49,3642.5
15.49,3721.4
15.49,3722.8
15.49,3657.8
15.49,3643.1
15.49,3510.1
15.49,3544.1
15.74,11682.3
15.74,11532.6
15.74,11588.9
15.74,11258.8
15.74,10835.5
15.74,11201.8
15.74,11504.1
15.74,11827.6
15.98,39912.0
15.98,37805.7
15.98,39180.2
15.98,41403.8
15.98,42073.0
15.98,42286.7
15.98,42188.7
15.98,41028.9
