att,c
-14.0,35896.4
-14.0,36052.8
-14.0,35920.2
-14.0,35888.4
-14.0,35959.8
-14.0,35989.7
-14.0,35978.2
-14.0,35817.6
-13.5,40508.2
-13.5,40299.9
-13.5,40332.8
-13.5,40339.4
-13.5,40283.7
-13.5,40386.5
-13.5,40299.0
-13.5,40382.9
-13.0,45271.5
-13.0,45351.1
-13.0,45162.8
-13.0,45419.5
-13.0,45197.2
-13.0,45368.2
-13.0,45165.0
-13.0,45336.2
-12.5,50737.9
-12.5,50672.0
-12.5,50698.2
-12.5,50750.5
-12.5,50779.9
-12.5,50636.7
-12.5,50791.3
-12.5,50668.0
-12.0,56975.3
-12.0,56957.5
-12.0,57008.8
-12.0,57001.6
-12.0,57008.6
-12.0,56912.0
-12.0,56847.3
-12.0,56957.3
-11.5,64012.2
-11.5,63940.3
-11.5,63940.2
-11.5,63904.7
-11.5,63875.4
-11.5,63465.2
-11.5,63964.7
-11.5,63790.2
-11.0,71285.1
-11.0,71745.8
-11.0,71592.8
-11.0,71488.5
-11.0,71582.6
-11.0,71554.6
-11.0,71440.7
-11.0,71526.6
-10.5,80385.9
-10.5,80349.4
-10.5,80003.1
-10.5,80386.1
-10.5,80335.3
-10.5,80507.9
-10.5,80155.7
-10.5,80300.8
-10.0,89974.9
-10.0,90043.2
-10.0,89962.7
-10.0,90070.4
-10.0,90027.8
-10.0,89871.7
-10.0,89895.1
-10.0,90002.6
-9.5,101010.6
-9.5,100972.3
-9.5,101172.3
-9.5,101263.3
-9.5,101162.9
-9.5,101099.6
-9.5,100888.3
-9.5,100953.2
-9.0,113363.0
-9.0,113170.7
-9.0,113260.8
-9.0,113090.6
-9.0,113248.8
-9.0,113490.8
-9.0,112986.3
-9.0,113495.1
-8.5,126802.1
-8.5,126808.1
-8.5,126596.1
-8.5,126985.2
-8.5,126678.8
-8.5,126877.5
-8.5,126624.0
-8.5,126787.4
-8.0,142178.0
-8.0,142043.3
-8.0,141920.5
-8.0,142491.8
-8.0,142174.3
-8.0,142061.4
-8.0,141902.1
-8.0,142207.4
-7.5,159237.2
-7.5,159094.1
-7.5,158925.9
-7.5,159553.0
-7.5,159307.4
-7.5,159282.3
-7.5,159104.6
-7.5,159071.9
-7.0,178542.6
-7.0,178259.7
-7.0,178097.3
-7.0,177948.1
-7.0,178159.7
-7.0,178232.4
-7.0,178341.9
-7.0,178679.6
-6.5,199878.6
-6.5,199774.1
-6.5,199544.1
-6.5,199718.1
-6.5,199797.1
-6.5,199416.1
-6.5,199655.6
-6.5,199539.4
