[2023-09-07 19:13:22,492][INFO][solver][run_plan] Setting up workspace.
[2023-09-07 19:13:22,493][INFO][solver][run_plan] Running transformation opt_cont.
[2023-09-07 19:13:50,337][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'state': 'start'} [1].
[2023-09-07 19:14:32,119][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 1, 'state': 'optimizing'} [2].
[2023-09-07 19:15:00,792][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 2, 'state': 'optimizing'} [3].
[2023-09-07 19:15:56,894][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 3, 'state': 'optimizing'} [4].
[2023-09-07 19:16:25,198][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 4, 'state': 'optimizing'} [5].
[2023-09-07 19:16:53,689][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 5, 'state': 'optimizing'} [6].
[2023-09-07 19:17:22,334][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 6, 'state': 'optimizing'} [7].
[2023-09-07 19:18:18,323][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 7, 'state': 'optimizing'} [8].
[2023-09-07 19:19:15,025][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 8, 'state': 'optimizing'} [9].
[2023-09-07 19:19:43,832][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 9, 'state': 'optimizing'} [10].
[2023-09-07 19:20:13,452][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 10, 'state': 'optimizing'} [11].
[2023-09-07 19:20:42,495][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 11, 'state': 'optimizing'} [12].
[2023-09-07 19:21:38,392][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 12, 'state': 'optimizing'} [13].
[2023-09-07 19:22:35,263][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 13, 'state': 'optimizing'} [14].
[2023-09-07 19:23:03,202][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 14, 'state': 'optimizing'} [15].
[2023-09-07 19:23:31,588][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 15, 'state': 'optimizing'} [16].
[2023-09-07 19:24:00,160][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 16, 'state': 'optimizing'} [17].
[2023-09-07 19:24:28,752][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 17, 'state': 'optimizing'} [18].
[2023-09-07 19:24:57,816][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 18, 'state': 'optimizing'} [19].
[2023-09-07 19:25:25,823][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 19, 'state': 'optimizing'} [20].
[2023-09-07 19:25:54,579][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 20, 'state': 'optimizing'} [21].
[2023-09-07 19:26:22,303][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 21, 'state': 'optimizing'} [22].
[2023-09-07 19:26:50,343][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 22, 'state': 'optimizing'} [23].
[2023-09-07 19:27:17,753][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 23, 'state': 'optimizing'} [24].
[2023-09-07 19:27:45,722][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 24, 'state': 'optimizing'} [25].
[2023-09-07 19:28:13,528][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 25, 'state': 'optimizing'} [26].
[2023-09-07 19:28:41,842][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 26, 'state': 'optimizing'} [27].
[2023-09-07 19:29:09,829][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 27, 'state': 'optimizing'} [28].
[2023-09-07 19:29:38,401][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 28, 'state': 'optimizing'} [29].
[2023-09-07 19:30:07,214][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 29, 'state': 'optimizing'} [30].
[2023-09-07 19:30:34,797][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 30, 'state': 'optimizing'} [31].
[2023-09-07 19:31:02,298][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 31, 'state': 'optimizing'} [32].
[2023-09-07 19:31:57,393][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 32, 'state': 'optimizing'} [33].
[2023-09-07 19:32:25,960][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 33, 'state': 'optimizing'} [34].
[2023-09-07 19:32:53,852][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 34, 'state': 'optimizing'} [35].
[2023-09-07 19:33:21,521][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 35, 'state': 'optimizing'} [36].
[2023-09-07 19:33:49,351][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 36, 'state': 'optimizing'} [37].
[2023-09-07 19:34:17,495][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 37, 'state': 'optimizing'} [38].
[2023-09-07 19:34:45,540][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 38, 'state': 'optimizing'} [39].
[2023-09-07 19:35:13,354][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 39, 'state': 'optimizing'} [40].
[2023-09-07 19:35:40,869][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 40, 'state': 'optimizing'} [41].
[2023-09-07 19:36:08,504][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 41, 'state': 'optimizing'} [42].
[2023-09-07 19:36:35,868][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 42, 'state': 'optimizing'} [43].
[2023-09-07 19:37:03,416][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 43, 'state': 'optimizing'} [44].
[2023-09-07 19:37:30,931][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 44, 'state': 'optimizing'} [45].
[2023-09-07 19:37:59,306][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 45, 'state': 'optimizing'} [46].
