[2023-09-08 14:04:34,913][INFO][solver][run_plan] Setting up workspace.
[2023-09-08 14:04:34,914][INFO][solver][run_plan] Running transformation opt_cont.
[2023-09-08 14:05:03,176][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'state': 'start'} [1].
[2023-09-08 14:05:43,543][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 1, 'state': 'optimizing'} [2].
[2023-09-08 14:06:10,527][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 2, 'state': 'optimizing'} [3].
[2023-09-08 14:06:38,059][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 3, 'state': 'optimizing'} [4].
[2023-09-08 14:07:05,341][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 4, 'state': 'optimizing'} [5].
[2023-09-08 14:07:59,611][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 5, 'state': 'optimizing'} [6].
[2023-09-08 14:08:53,817][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 6, 'state': 'optimizing'} [7].
[2023-09-08 14:09:48,424][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 7, 'state': 'optimizing'} [8].
[2023-09-08 14:10:15,486][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 8, 'state': 'optimizing'} [9].
[2023-09-08 14:11:09,950][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 9, 'state': 'optimizing'} [10].
[2023-09-08 14:11:37,538][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 10, 'state': 'optimizing'} [11].
[2023-09-08 14:12:04,874][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 11, 'state': 'optimizing'} [12].
[2023-09-08 14:13:00,037][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 12, 'state': 'optimizing'} [13].
[2023-09-08 14:13:55,291][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 13, 'state': 'optimizing'} [14].
[2023-09-08 14:14:51,031][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 14, 'state': 'optimizing'} [15].
[2023-09-08 14:15:18,805][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 15, 'state': 'optimizing'} [16].
[2023-09-08 14:15:46,524][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 16, 'state': 'optimizing'} [17].
[2023-09-08 14:16:14,335][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 17, 'state': 'optimizing'} [18].
[2023-09-08 14:16:42,016][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 18, 'state': 'optimizing'} [19].
[2023-09-08 14:17:09,096][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 19, 'state': 'optimizing'} [20].
[2023-09-08 14:17:36,346][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 20, 'state': 'optimizing'} [21].
[2023-09-08 14:18:30,924][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 21, 'state': 'optimizing'} [22].
[2023-09-08 14:19:24,573][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 22, 'state': 'optimizing'} [23].
[2023-09-08 14:20:19,334][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 23, 'state': 'optimizing'} [24].
[2023-09-08 14:21:13,713][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 24, 'state': 'optimizing'} [25].
[2023-09-08 14:22:07,515][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 25, 'state': 'optimizing'} [26].
[2023-09-08 14:22:34,496][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 26, 'state': 'optimizing'} [27].
[2023-09-08 14:23:02,759][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 27, 'state': 'optimizing'} [28].
[2023-09-08 14:23:29,876][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 28, 'state': 'optimizing'} [29].
[2023-09-08 14:24:23,862][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 29, 'state': 'optimizing'} [30].
[2023-09-08 14:24:51,991][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 30, 'state': 'optimizing'} [31].
[2023-09-08 14:25:19,036][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 31, 'state': 'optimizing'} [32].
[2023-09-08 14:26:13,014][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 32, 'state': 'optimizing'} [33].
[2023-09-08 14:27:06,606][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 33, 'state': 'optimizing'} [34].
[2023-09-08 14:27:33,653][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 34, 'state': 'optimizing'} [35].
[2023-09-08 14:28:54,124][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 35, 'state': 'optimizing'} [36].
[2023-09-08 14:29:49,487][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 36, 'state': 'optimizing'} [37].
[2023-09-08 14:30:16,630][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 37, 'state': 'optimizing'} [38].
[2023-09-08 14:31:10,424][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 38, 'state': 'optimizing'} [39].
[2023-09-08 14:32:03,933][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 39, 'state': 'optimizing'} [40].
[2023-09-08 14:32:30,879][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 40, 'state': 'optimizing'} [41].
[2023-09-08 14:32:57,824][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 41, 'state': 'optimizing'} [42].
[2023-09-08 14:33:24,759][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 42, 'state': 'optimizing'} [43].
