[2023-09-11 14:10:43,581][INFO][solver][run_plan] Setting up workspace.
[2023-09-11 14:10:43,583][INFO][solver][run_plan] Running transformation opt_cont.
[2023-09-11 14:20:13,233][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'state': 'start'} [1].
[2023-09-11 14:34:16,932][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 1, 'state': 'optimizing'} [2].
[2023-09-11 14:52:43,222][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 2, 'state': 'optimizing'} [3].
[2023-09-11 15:01:46,827][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 3, 'state': 'optimizing'} [4].
[2023-09-11 15:11:00,999][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 4, 'state': 'optimizing'} [5].
[2023-09-11 15:20:07,734][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 5, 'state': 'optimizing'} [6].
[2023-09-11 15:38:26,678][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 6, 'state': 'optimizing'} [7].
[2023-09-11 15:56:46,586][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 7, 'state': 'optimizing'} [8].
[2023-09-11 16:06:05,657][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 8, 'state': 'optimizing'} [9].
[2023-09-11 16:15:25,515][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 9, 'state': 'optimizing'} [10].
[2023-09-11 16:24:38,176][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 10, 'state': 'optimizing'} [11].
[2023-09-11 16:33:51,999][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 11, 'state': 'optimizing'} [12].
[2023-09-11 16:43:13,009][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 12, 'state': 'optimizing'} [13].
[2023-09-11 16:52:23,223][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 13, 'state': 'optimizing'} [14].
[2023-09-11 17:01:34,614][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 14, 'state': 'optimizing'} [15].
[2023-09-11 17:10:31,614][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 15, 'state': 'optimizing'} [16].
[2023-09-11 17:19:59,580][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 16, 'state': 'optimizing'} [17].
[2023-09-11 17:29:03,093][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 17, 'state': 'optimizing'} [18].
[2023-09-11 17:38:06,407][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 18, 'state': 'optimizing'} [19].
[2023-09-11 17:47:25,800][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 19, 'state': 'optimizing'} [20].
[2023-09-11 17:56:30,499][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 20, 'state': 'optimizing'} [21].
[2023-09-11 18:05:30,429][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 21, 'state': 'optimizing'} [22].
[2023-09-11 18:14:49,051][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 22, 'state': 'optimizing'} [23].
[2023-09-11 18:23:51,618][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 23, 'state': 'optimizing'} [24].
[2023-09-11 18:32:53,690][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 24, 'state': 'optimizing'} [25].
[2023-09-11 18:42:09,110][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 25, 'state': 'optimizing'} [26].
[2023-09-11 18:51:18,620][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 26, 'state': 'optimizing'} [27].
[2023-09-11 19:00:28,685][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 27, 'state': 'optimizing'} [28].
[2023-09-11 19:09:50,892][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 28, 'state': 'optimizing'} [29].
[2023-09-11 19:19:09,288][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 29, 'state': 'optimizing'} [30].
[2023-09-11 19:28:17,689][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 30, 'state': 'optimizing'} [31].
[2023-09-11 19:37:24,005][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 31, 'state': 'optimizing'} [32].
[2023-09-11 19:46:46,429][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 32, 'state': 'optimizing'} [33].
[2023-09-11 19:55:56,616][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 33, 'state': 'optimizing'} [34].
[2023-09-11 20:05:10,648][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 34, 'state': 'optimizing'} [35].
[2023-09-11 20:14:16,315][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 35, 'state': 'optimizing'} [36].
[2023-09-11 20:23:20,659][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 36, 'state': 'optimizing'} [37].
[2023-09-11 20:32:46,908][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 37, 'state': 'optimizing'} [38].
[2023-09-11 20:41:57,115][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 38, 'state': 'optimizing'} [39].
[2023-09-11 20:51:16,523][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 39, 'state': 'optimizing'} [40].
[2023-09-11 21:09:29,989][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 40, 'state': 'optimizing'} [41].
[2023-09-11 21:18:36,123][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 41, 'state': 'optimizing'} [42].
[2023-09-11 21:27:39,225][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 42, 'state': 'optimizing'} [43].
[2023-09-11 21:36:40,995][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 43, 'state': 'optimizing'} [44].
[2023-09-11 21:45:49,716][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 44, 'state': 'optimizing'} [45].
[2023-09-11 21:55:04,095][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 45, 'state': 'optimizing'} [46].
[2023-09-11 22:04:21,946][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 46, 'state': 'optimizing'} [47].
[2023-09-11 22:13:28,010][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 47, 'state': 'optimizing'} [48].
[2023-09-11 22:22:30,797][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 48, 'state': 'optimizing'} [49].
[2023-09-11 22:31:44,746][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 49, 'state': 'optimizing'} [50].
[2023-09-11 22:40:50,198][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 50, 'state': 'optimizing'} [51].
[2023-09-11 22:40:50,830][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'state': 'end'} [52].
[2023-09-11 22:40:51,005][INFO][workspace][write_checkpoint] Saving checkpoint file: opt_cont.chkpt.pkl
[2023-09-11 22:40:51,008][INFO][solver][run_plan] Running transformation opt_cont_disc.
[2023-09-11 22:40:51,698][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'state': 'start'} [53].
[2023-09-11 22:50:06,770][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 1, 'state': 'optimizing'} [54].
[2023-09-11 22:59:12,613][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 2, 'state': 'optimizing'} [55].
[2023-09-11 23:08:24,521][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 3, 'state': 'optimizing'} [56].
[2023-09-11 23:17:34,000][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 4, 'state': 'optimizing'} [57].
[2023-09-11 23:26:49,400][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 5, 'state': 'optimizing'} [58].
[2023-09-11 23:36:02,610][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 6, 'state': 'optimizing'} [59].
[2023-09-11 23:45:10,042][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 7, 'state': 'optimizing'} [60].
[2023-09-11 23:54:16,957][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 8, 'state': 'optimizing'} [61].
[2023-09-12 00:12:37,421][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 9, 'state': 'optimizing'} [62].
[2023-09-12 00:30:58,007][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 10, 'state': 'optimizing'} [63].
[2023-09-12 00:49:17,301][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 11, 'state': 'optimizing'} [64].
[2023-09-12 00:58:28,780][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 12, 'state': 'optimizing'} [65].
[2023-09-12 00:58:29,501][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'state': 'end'} [66].
[2023-09-12 00:58:30,142][INFO][workspace][write_checkpoint] Saving checkpoint file: opt_cont_disc.chkpt.pkl
[2023-09-12 00:58:30,145][INFO][solver][run_plan] Running transformation cont_to_disc.
[2023-09-12 00:58:31,910][INFO][workspace][write_checkpoint] Saving checkpoint file: cont_to_disc.chkpt.pkl
[2023-09-12 00:58:31,916][INFO][solver][run_plan] Running transformation opt_disc.
[2023-09-12 01:03:19,149][INFO][workspace][write] Saving monitors for transformation opt_disc with event info {'state': 'start'} [67].
[2023-09-12 01:12:21,398][INFO][workspace][write] Saving monitors for transformation opt_disc with event info {'iteration': 1, 'state': 'optimizing'} [68].
[2023-09-12 01:21:34,816][INFO][workspace][write] Saving monitors for transformation opt_disc with event info {'iteration': 2, 'state': 'optimizing'} [69].
[2023-09-12 01:30:47,464][INFO][workspace][write] Saving monitors for transformation opt_disc with event info {'iteration': 3, 'state': 'optimizing'} [70].
[2023-09-12 01:40:05,198][INFO][workspace][write] Saving monitors for transformation opt_disc with event info {'iteration': 4, 'state': 'optimizing'} [71].
[2023-09-12 01:49:16,763][INFO][workspace][write] Saving monitors for transformation opt_disc with event info {'iteration': 5, 'state': 'optimizing'} [72].
[2023-09-12 01:58:20,128][INFO][workspace][write] Saving monitors for transformation opt_disc with event info {'iteration': 6, 'state': 'optimizing'} [73].
[2023-09-12 02:07:32,165][INFO][workspace][write] Saving monitors for transformation opt_disc with event info {'iteration': 7, 'state': 'optimizing'} [74].
[2023-09-12 02:16:32,529][INFO][workspace][write] Saving monitors for transformation opt_disc with event info {'iteration': 8, 'state': 'optimizing'} [75].
[2023-09-12 02:25:46,344][INFO][workspace][write] Saving monitors for transformation opt_disc with event info {'iteration': 9, 'state': 'optimizing'} [76].
[2023-09-12 02:34:59,653][INFO][workspace][write] Saving monitors for transformation opt_disc with event info {'iteration': 10, 'state': 'optimizing'} [77].
