

lambda(m), Y
1.476e-06, -0.0572628
1.47474e-06, -0.0562457
1.47349e-06, -0.0533098
1.47223e-06, -0.0500755
1.47098e-06, -0.0472805
1.46973e-06, -0.0446649
1.46848e-06, -0.0419898
1.46724e-06, -0.039533
1.46599e-06, -0.0378242
1.46475e-06, -0.0371037
1.46351e-06, -0.0370267
1.46228e-06, -0.0370104
1.46104e-06, -0.0367132
1.45981e-06, -0.0358616
1.45858e-06, -0.0340258
1.45735e-06, -0.0311993
1.45612e-06, -0.0281789
1.4549e-06, -0.0256779
1.45368e-06, -0.0235305
1.45245e-06, -0.0213819
1.45124e-06, -0.019517
1.45002e-06, -0.0183388
1.44881e-06, -0.0176292
1.44759e-06, -0.0168671
1.44638e-06, -0.0157692
1.44517e-06, -0.0142585
1.44397e-06, -0.0124349
1.44276e-06, -0.0106654
1.44156e-06, -0.00926715
1.44036e-06, -0.00821801
1.43916e-06, -0.00745811
1.43797e-06, -0.00709612
1.43677e-06, -0.00708867
1.43558e-06, -0.00717843
1.43439e-06, -0.00725666
1.4332e-06, -0.00737914
1.43202e-06, -0.00756882
1.43083e-06, -0.00795245
1.42965e-06, -0.00868625
1.42847e-06, -0.0094784
1.42729e-06, -0.00979467
1.42611e-06, -0.00966385
1.42494e-06, -0.00954337
1.42377e-06, -0.00948615
1.4226e-06, -0.00927193
1.42143e-06, -0.00904819
1.42026e-06, -0.00901721
1.41909e-06, -0.00898909
1.41793e-06, -0.00888743
1.41677e-06, -0.00896495
1.41561e-06, -0.00915104
1.41445e-06, -0.0091677
1.4133e-06, -0.00936388
1.41214e-06, -0.010261
1.41099e-06, -0.0114747
1.40984e-06, -0.0122891
1.40869e-06, -0.0127893
1.40755e-06, -0.0133511
1.4064e-06, -0.0138708
1.40526e-06, -0.0143685
1.40412e-06, -0.0152252
1.40298e-06, -0.0163562
1.40185e-06, -0.0174971
1.40071e-06, -0.0191938
1.39958e-06, -0.0219459
1.39845e-06, -0.0252571
1.39732e-06, -0.0293886
1.39619e-06, -0.0361102
1.39506e-06, -0.0447919
1.39394e-06, -0.0498372
1.39282e-06, -0.0458552
1.3917e-06, -0.0343031
1.39058e-06, -0.021823
1.38946e-06, -0.0130927
1.38835e-06, -0.00808907
1.38723e-06, -0.0050902
1.38612e-06, -0.00321508
1.38501e-06, -0.00213757
1.3839e-06, -0.00149105
1.3828e-06, -0.00105752
1.38169e-06, -0.000799768
1.38059e-06, -0.00065424
1.37949e-06, -0.000542218
1.37839e-06, -0.000428369
1.37729e-06, -0.000289967
1.3762e-06, -0.000145382
1.3751e-06, -5.36253e-05
1.37401e-06, -2.47598e-05
1.37292e-06, -2.6607e-05
1.37183e-06, -5.9093e-05
1.37075e-06, -0.000130433
1.36966e-06, -0.000225875
1.36858e-06, -0.000339179
1.36749e-06, -0.000455933
1.36641e-06, -0.000538616
1.36534e-06, -0.000591331
1.36426e-06, -0.000648484
1.36318e-06, -0.000687327
1.36211e-06, -0.000680505
1.36104e-06, -0.000681667
1.35997e-06, -0.00072222
1.3589e-06, -0.000732543
1.35783e-06, -0.00067098
1.35677e-06, -0.000591297
1.35571e-06, -0.000546629
1.35465e-06, -0.000565066
1.35359e-06, -0.000661545
1.35253e-06, -0.000763299
1.35147e-06, -0.000767326
1.35042e-06, -0.000716472
1.34936e-06, -0.000712886
1.34831e-06, -0.000708658
1.34726e-06, -0.00062293
1.34621e-06, -0.000524774
1.34517e-06, -0.000477595
1.34412e-06, -0.000412304
1.34308e-06, -0.000305909
1.34203e-06, -0.000251251
1.34099e-06, -0.000304394
1.33996e-06, -0.000445177
1.33892e-06, -0.000618978
1.33788e-06, -0.00083444
1.33685e-06, -0.00151963
1.33582e-06, -0.00357562
1.33479e-06, -0.00749219
1.33376e-06, -0.0125352
1.33273e-06, -0.0172359
1.3317e-06, -0.0204823
1.33068e-06, -0.0221198
1.32966e-06, -0.0230084
1.32864e-06, -0.0242403
1.32762e-06, -0.0257869
1.3266e-06, -0.0267694
1.32558e-06, -0.0274636
1.32457e-06, -0.0292772
1.32355e-06, -0.0322891
1.32254e-06, -0.0353352
1.32153e-06, -0.0391839
1.32052e-06, -0.0474674
1.31952e-06, -0.0649877
1.31851e-06, -0.096153
1.31751e-06, -0.139379
1.3165e-06, -0.177856
1.3155e-06, -0.184158
1.3145e-06, -0.146053
1.3135e-06, -0.0842436
1.31251e-06, -0.0336225
1.31151e-06, -0.00986635
1.31052e-06, -0.00371885
1.30953e-06, -0.00204232
1.30854e-06, -0.00100197
1.30755e-06, -0.000901797
1.30656e-06, -0.000893451
1.30557e-06, -0.000813175
1.30459e-06, -0.00150027
1.30361e-06, -0.00267796
1.30262e-06, -0.00370909
1.30164e-06, -0.0047681
1.30067e-06, -0.00535438
1.29969e-06, -0.00430002
1.29871e-06, -0.00222672
1.29774e-06, -0.00110426
1.29677e-06, -0.00123393
1.2958e-06, -0.00136711
1.29483e-06, -0.00117638
1.29386e-06, -0.00119304
1.29289e-06, -0.00130887
1.29192e-06, -0.00119918
1.29096e-06, -0.00110117
1.29e-06, -0.00113363
1.28904e-06, -0.00105777
1.28808e-06, -0.00100638
1.28712e-06, -0.00125297
1.28616e-06, -0.00150917
1.28521e-06, -0.00144979
1.28425e-06, -0.00130961
1.2833e-06, -0.00128174
1.28235e-06, -0.00116635
1.2814e-06, -0.000953085
1.28045e-06, -0.000883037
1.2795e-06, -0.000916899
1.27856e-06, -0.000868051
1.27761e-06, -0.000795749
1.27667e-06, -0.000769198
1.27573e-06, -0.000696118
1.27479e-06, -0.000618195
1.27385e-06, -0.000656841
1.27291e-06, -0.000694594
1.27198e-06, -0.000592566
1.27104e-06, -0.000486836
1.27011e-06, -0.000503431
1.26918e-06, -0.000539223
1.26825e-06, -0.000524873
1.26732e-06, -0.000514249
