[2023-09-10 12:40:40,733][INFO][solver][run_plan] Setting up workspace.
[2023-09-10 12:40:40,733][INFO][solver][run_plan] Running transformation opt_cont.
/global/home/users/xinwei/.local/lib/python3.9/site-packages/scipy/sparse/_data.py:72: ComplexWarning: Casting complex values to real discards the imaginary part
  self.data.astype(dtype, casting=casting, copy=True),
[2023-09-10 12:43:59,518][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'state': 'start'} [1].
[2023-09-10 12:49:04,653][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 1, 'state': 'optimizing'} [2].
[2023-09-10 12:55:55,166][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 2, 'state': 'optimizing'} [3].
[2023-09-10 13:02:41,420][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 3, 'state': 'optimizing'} [4].
[2023-09-10 13:06:04,041][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 4, 'state': 'optimizing'} [5].
[2023-09-10 13:09:26,779][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 5, 'state': 'optimizing'} [6].
[2023-09-10 13:16:11,937][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 6, 'state': 'optimizing'} [7].
[2023-09-10 13:22:58,078][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 7, 'state': 'optimizing'} [8].
[2023-09-10 13:29:43,497][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 8, 'state': 'optimizing'} [9].
[2023-09-10 13:33:07,208][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 9, 'state': 'optimizing'} [10].
[2023-09-10 13:39:51,727][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 10, 'state': 'optimizing'} [11].
[2023-09-10 13:43:16,682][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 11, 'state': 'optimizing'} [12].
[2023-09-10 13:46:40,356][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 12, 'state': 'optimizing'} [13].
[2023-09-10 13:50:10,064][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 13, 'state': 'optimizing'} [14].
[2023-09-10 13:53:39,436][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 14, 'state': 'optimizing'} [15].
[2023-09-10 14:00:35,710][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 15, 'state': 'optimizing'} [16].
[2023-09-10 14:07:20,671][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 16, 'state': 'optimizing'} [17].
[2023-09-10 14:10:44,322][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 17, 'state': 'optimizing'} [18].
[2023-09-10 14:14:05,991][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 18, 'state': 'optimizing'} [19].
[2023-09-10 14:17:29,572][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 19, 'state': 'optimizing'} [20].
[2023-09-10 14:20:51,544][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 20, 'state': 'optimizing'} [21].
[2023-09-10 14:24:13,638][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 21, 'state': 'optimizing'} [22].
[2023-09-10 14:30:57,491][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 22, 'state': 'optimizing'} [23].
[2023-09-10 14:34:15,422][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 23, 'state': 'optimizing'} [24].
[2023-09-10 14:37:42,129][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 24, 'state': 'optimizing'} [25].
[2023-09-10 14:44:30,692][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 25, 'state': 'optimizing'} [26].
[2023-09-10 14:47:56,231][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 26, 'state': 'optimizing'} [27].
[2023-09-10 14:51:27,830][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 27, 'state': 'optimizing'} [28].
[2023-09-10 14:54:48,682][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 28, 'state': 'optimizing'} [29].
[2023-09-10 14:58:09,827][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 29, 'state': 'optimizing'} [30].
[2023-09-10 15:01:29,847][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 30, 'state': 'optimizing'} [31].
[2023-09-10 15:04:49,859][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 31, 'state': 'optimizing'} [32].
[2023-09-10 15:08:09,460][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 32, 'state': 'optimizing'} [33].
[2023-09-10 15:11:31,573][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 33, 'state': 'optimizing'} [34].
[2023-09-10 15:14:52,648][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 34, 'state': 'optimizing'} [35].
[2023-09-10 15:18:15,216][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 35, 'state': 'optimizing'} [36].
[2023-09-10 15:21:35,083][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 36, 'state': 'optimizing'} [37].
[2023-09-10 15:24:55,319][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 37, 'state': 'optimizing'} [38].
[2023-09-10 15:28:14,309][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 38, 'state': 'optimizing'} [39].
[2023-09-10 15:31:40,072][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 39, 'state': 'optimizing'} [40].
[2023-09-10 15:35:02,679][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 40, 'state': 'optimizing'} [41].
[2023-09-10 15:38:29,954][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 41, 'state': 'optimizing'} [42].
[2023-09-10 15:41:57,589][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 42, 'state': 'optimizing'} [43].
[2023-09-10 15:45:34,245][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 43, 'state': 'optimizing'} [44].
[2023-09-10 15:48:54,712][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 44, 'state': 'optimizing'} [45].
[2023-09-10 15:52:15,513][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 45, 'state': 'optimizing'} [46].
[2023-09-10 15:55:37,847][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 46, 'state': 'optimizing'} [47].
[2023-09-10 15:58:57,765][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 47, 'state': 'optimizing'} [48].
[2023-09-10 16:02:17,217][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 48, 'state': 'optimizing'} [49].
[2023-09-10 16:05:38,500][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 49, 'state': 'optimizing'} [50].
[2023-09-10 16:08:57,253][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'iteration': 50, 'state': 'optimizing'} [51].
[2023-09-10 16:08:58,045][INFO][workspace][write] Saving monitors for transformation opt_cont with event info {'state': 'end'} [52].
[2023-09-10 16:08:58,823][INFO][workspace][write_checkpoint] Saving checkpoint file: opt_cont.chkpt.pkl
[2023-09-10 16:08:58,878][INFO][solver][run_plan] Running transformation opt_cont_disc.
[2023-09-10 16:08:59,046][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'state': 'start'} [53].
[2023-09-10 16:12:22,673][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 1, 'state': 'optimizing'} [54].
[2023-09-10 16:15:42,781][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 2, 'state': 'optimizing'} [55].
[2023-09-10 16:19:01,898][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 3, 'state': 'optimizing'} [56].
[2023-09-10 16:22:21,493][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 4, 'state': 'optimizing'} [57].
[2023-09-10 16:25:46,419][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 5, 'state': 'optimizing'} [58].
[2023-09-10 16:29:06,090][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 6, 'state': 'optimizing'} [59].
[2023-09-10 16:32:27,796][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 7, 'state': 'optimizing'} [60].
[2023-09-10 16:35:54,694][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 8, 'state': 'optimizing'} [61].
[2023-09-10 16:42:44,989][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 9, 'state': 'optimizing'} [62].
[2023-09-10 16:46:06,503][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 10, 'state': 'optimizing'} [63].
[2023-09-10 16:49:27,348][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 11, 'state': 'optimizing'} [64].
[2023-09-10 16:52:46,756][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 12, 'state': 'optimizing'} [65].
[2023-09-10 16:56:06,182][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 13, 'state': 'optimizing'} [66].
[2023-09-10 16:59:27,485][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 14, 'state': 'optimizing'} [67].
[2023-09-10 17:02:46,546][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 15, 'state': 'optimizing'} [68].
[2023-09-10 17:06:12,888][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 16, 'state': 'optimizing'} [69].
[2023-09-10 17:09:31,735][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 17, 'state': 'optimizing'} [70].
[2023-09-10 17:16:09,428][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 18, 'state': 'optimizing'} [71].
[2023-09-10 17:19:36,856][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 19, 'state': 'optimizing'} [72].
[2023-09-10 17:22:57,993][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 20, 'state': 'optimizing'} [73].
[2023-09-10 17:26:18,549][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 21, 'state': 'optimizing'} [74].
[2023-09-10 17:29:41,238][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 22, 'state': 'optimizing'} [75].
[2023-09-10 17:33:09,633][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 23, 'state': 'optimizing'} [76].
[2023-09-10 17:36:28,985][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 24, 'state': 'optimizing'} [77].
[2023-09-10 17:39:50,261][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 25, 'state': 'optimizing'} [78].
[2023-09-10 17:43:11,413][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 26, 'state': 'optimizing'} [79].
[2023-09-10 17:49:51,403][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 27, 'state': 'optimizing'} [80].
[2023-09-10 17:56:29,573][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 28, 'state': 'optimizing'} [81].
[2023-09-10 17:59:51,246][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 29, 'state': 'optimizing'} [82].
[2023-09-10 18:03:10,316][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 30, 'state': 'optimizing'} [83].
[2023-09-10 18:06:39,581][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 31, 'state': 'optimizing'} [84].
[2023-09-10 18:09:58,807][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 32, 'state': 'optimizing'} [85].
[2023-09-10 18:13:19,052][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 33, 'state': 'optimizing'} [86].
[2023-09-10 18:16:38,835][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 34, 'state': 'optimizing'} [87].
[2023-09-10 18:19:58,269][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 35, 'state': 'optimizing'} [88].
[2023-09-10 18:23:25,481][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 36, 'state': 'optimizing'} [89].
[2023-09-10 18:26:45,575][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 37, 'state': 'optimizing'} [90].
[2023-09-10 18:30:04,672][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 38, 'state': 'optimizing'} [91].
[2023-09-10 18:43:23,455][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 39, 'state': 'optimizing'} [92].
[2023-09-10 18:46:44,835][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 40, 'state': 'optimizing'} [93].
[2023-09-10 18:50:05,588][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 41, 'state': 'optimizing'} [94].
[2023-09-10 18:56:47,925][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 42, 'state': 'optimizing'} [95].
[2023-09-10 19:00:15,432][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 43, 'state': 'optimizing'} [96].
[2023-09-10 19:03:34,915][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 44, 'state': 'optimizing'} [97].
[2023-09-10 19:07:00,451][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 45, 'state': 'optimizing'} [98].
[2023-09-10 19:13:40,342][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 46, 'state': 'optimizing'} [99].
[2023-09-10 19:17:02,121][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 47, 'state': 'optimizing'} [100].
[2023-09-10 19:20:29,139][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 48, 'state': 'optimizing'} [101].
[2023-09-10 19:27:11,080][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 49, 'state': 'optimizing'} [102].
[2023-09-10 19:30:32,376][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'iteration': 50, 'state': 'optimizing'} [103].
[2023-09-10 19:30:33,125][INFO][workspace][write] Saving monitors for transformation opt_cont_disc with event info {'state': 'end'} [104].
[2023-09-10 19:30:33,677][INFO][workspace][write_checkpoint] Saving checkpoint file: opt_cont_disc.chkpt.pkl
[2023-09-10 19:30:33,714][INFO][solver][run_plan] Running transformation cont_to_disc.
[2023-09-10 19:30:38,319][INFO][workspace][write_checkpoint] Saving checkpoint file: cont_to_disc.chkpt.pkl
[2023-09-10 19:30:38,398][INFO][solver][run_plan] Running transformation opt_disc.
[2023-09-10 19:32:17,630][INFO][workspace][write] Saving monitors for transformation opt_disc with event info {'state': 'start'} [105].
