att,v
-15.00,0.05163
-15.00,0.05163
-15.00,0.05163
-15.00,0.05163
-15.00,0.05163
-15.00,0.05170
-14.50,0.05794
-14.50,0.05794
-14.50,0.05802
-14.50,0.05802
-14.50,0.05802
-14.50,0.05802
-14.00,0.06512
-14.00,0.06504
-14.00,0.06512
-14.00,0.06520
-14.00,0.06512
-14.00,0.06512
-13.50,0.07309
-13.50,0.07317
-13.50,0.07309
-13.50,0.07309
-13.50,0.07309
-13.50,0.07317
-13.00,0.08201
-13.00,0.08209
-13.00,0.08201
-13.00,0.08209
-13.00,0.08209
-13.00,0.08209
-12.50,0.09204
-12.50,0.09196
-12.50,0.09196
-12.50,0.09196
-12.50,0.09196
-12.50,0.09196
-12.00,0.10332
-12.00,0.10332
-12.00,0.10325
-12.00,0.10325
-12.00,0.10332
-12.00,0.10332
-11.50,0.11595
-11.50,0.11595
-11.50,0.11603
-11.50,0.11595
-11.50,0.11595
-11.50,0.11595
-11.00,0.13024
-11.00,0.13016
-11.00,0.13016
-11.00,0.13016
-11.00,0.13024
-11.00,0.13016
-10.50,0.14611
-10.50,0.14618
-10.50,0.14618
-10.50,0.14618
-10.50,0.14618
-10.50,0.14611
-10.00,0.16402
-10.00,0.16402
-10.00,0.16402
-10.00,0.16402
-10.00,0.16402
-10.00,0.16402
-9.50,0.18439
-9.50,0.18431
-9.50,0.18431
-9.50,0.18431
-9.50,0.18431
-9.50,0.18431
-9.00,0.20680
-9.00,0.20680
-9.00,0.20688
-9.00,0.20688
-9.00,0.20688
-9.00,0.20680
-8.50,0.23206
-8.50,0.23198
-8.50,0.23206
-8.50,0.23206
-8.50,0.23206
-8.50,0.23206
-8.00,0.26040
-8.00,0.26040
-8.00,0.26040
-8.00,0.26032
-8.00,0.26032
-8.00,0.26040
-7.50,0.29221
-7.50,0.29213
-7.50,0.29213
-7.50,0.29221
-7.50,0.29213
-7.50,0.29213
-7.00,0.32780
-7.00,0.32772
-7.00,0.32772
-7.00,0.32772
-7.00,0.32772
-7.00,0.32772
-6.50,0.36774
-6.50,0.36782
-6.50,0.36774
-6.50,0.36774
-6.50,0.36774
-6.50,0.36774
-6.00,0.41242
-6.00,0.41234
-6.00,0.41242
-6.00,0.41242
-6.00,0.41242
-6.00,0.41242
-5.50,0.46269
-5.50,0.46269
-5.50,0.46269
-5.50,0.46269
-5.50,0.46277
-5.50,0.46269
-5.00,0.51913
-5.00,0.51937
-5.00,0.51921
-5.00,0.51921
-5.00,0.51921
-5.00,0.51921
-4.50,0.58251
-4.50,0.58259
-4.50,0.58259
-4.50,0.58259
-4.50,0.58251
-4.50,0.58251
-4.00,0.65371
-4.00,0.65371
-4.00,0.65379
-4.00,0.65371
-4.00,0.65363
-4.00,0.65379
-3.50,0.73335
-3.50,0.73335
-3.50,0.73335
-3.50,0.73343
-3.50,0.73335
-3.50,0.73335
-3.00,0.82293
-3.00,0.82293
-3.00,0.82301
-3.00,0.82293
-3.00,0.82293
-3.00,0.82293
-2.50,0.92341
-2.50,0.92365
-2.50,0.92349
-2.50,0.92357
-2.50,0.92349
-2.50,0.92357
-2.00,1.03652
-2.00,1.03660
-2.00,1.03668
-2.00,1.03676
-2.00,1.03652
-2.00,1.03668
-1.50,1.16320
-1.50,1.16312
-1.50,1.16312
-1.50,1.16320
-1.50,1.16320
-1.50,1.16320
-1.00,1.30543
-1.00,1.30559
-1.00,1.30543
-1.00,1.30536
-1.00,1.30520
-1.00,1.30543
-0.50,1.46487
-0.50,1.46479
-0.50,1.46472
-0.50,1.46464
-0.50,1.46487
-0.50,1.46479
0.00,1.64412
0.00,1.64412
0.00,1.64405
0.00,1.64397
0.00,1.64412
0.00,1.64405
0.50,1.84484
0.50,1.84484
0.50,1.84484
0.50,1.84484
0.50,1.84477
0.50,1.84484
1.00,2.07019
1.00,2.07011
1.00,2.07003
1.00,2.07019
1.00,2.07003
1.00,2.07003
1.50,2.32293
1.50,2.32300
1.50,2.32300
1.50,2.32300
1.50,2.32277
1.50,2.32324
2.00,2.60715
2.00,2.60668
2.00,2.60676
2.00,2.60692
2.00,2.60684
2.00,2.60676
2.50,2.92532
2.50,2.92524
2.50,2.92516
2.50,2.92532
2.50,2.92516
2.50,2.92509
3.00,3.28224
3.00,3.28240
3.00,3.28232
3.00,3.28232
3.00,3.28232
3.00,3.28248
3.50,3.68297
3.50,3.68290
3.50,3.68305
3.50,3.68290
3.50,3.68274
3.50,3.68290
4.00,4.12420
4.00,4.12491
4.00,4.12467
4.00,4.12427
4.00,4.12530
4.00,4.12451
4.50,4.62872
4.50,4.62888
4.50,4.62959
4.50,4.62880
4.50,4.62848
4.50,4.62888
5.00,5.19544
5.00,5.19504
5.00,5.19607
5.00,5.19536
5.00,5.19607
5.00,5.19560
5.50,5.83083
5.50,5.83114
5.50,5.83075
5.50,5.83051
5.50,5.83099
5.50,5.83075
6.00,6.54404
6.00,6.54388
6.00,6.54388
6.00,6.54333
6.00,6.54381
6.00,6.54428
6.50,7.34361
6.50,7.34376
6.50,7.34432
6.50,7.34400
6.50,7.34298
6.50,7.34369
7.00,8.24144
7.00,8.24120
7.00,8.24026
7.00,8.24049
7.00,8.24097
7.00,8.24168
7.50,9.24764
7.50,9.24851
7.50,9.24804
7.50,9.24843
7.50,9.24756
7.50,9.24756
8.00,10.10735
8.00,10.10735
8.00,10.10735
8.00,10.10735
8.00,10.10735
8.00,10.10735
8.50,10.10735
8.50,10.10735
8.50,10.10735
8.50,10.10735
8.50,10.10735
8.50,10.10735
9.00,10.10735
9.00,10.10735
9.00,10.10735
9.00,10.10735
9.00,10.10735
9.00,10.10735
