att,p
-15.00,27.32
-14.50,30.66
-14.00,34.40
-13.50,38.62
-13.00,43.33
-12.50,48.63
-12.00,54.58
-11.50,61.25
-11.00,68.90
-10.50,77.20
-10.00,86.60
-9.50,97.30
-9.00,109.20
-8.50,122.50
-8.00,137.40
-7.50,154.10
-7.00,172.90
-6.50,194.00
-6.00,217.60
-5.50,244.20
-5.00,273.90
-4.50,307.30
-4.00,344.80
-3.50,386.80
-3.00,434.00
-2.50,487.00
-2.00,546.60
-1.50,613.40
-1.00,688.00
-0.50,772.00
0.00,866.00000
0.50,972.00000
1.00,1090.00000
1.50,1224.00000
2.00,1373.00000
2.50,1541.00000
3.00,1729.00000
3.50,1940.00000
4.00,2173.00000
4.50,2439.00000
5.00,2738.00000
5.50,3074.00000
6.00,3450.00000
6.50,3872.00000
7.00,4344.00000
7.50,4874.00000
8.00,5468.00000
8.50,6135.00000
