att,v
-15.00,0.00553006
-15.00,0.00489862
-15.00,0.00553006
-15.00,0.00553006
-15.00,0.00489862
-15.00,0.00521434
-14.50,0.00584578
-14.50,0.00584578
-14.50,0.00584578
-14.50,0.00679294
-14.50,0.00553006
-14.50,0.00616150
-14.00,0.00679294
-14.00,0.00679294
-14.00,0.00710867
-14.00,0.00616150
-14.00,0.00679294
-14.00,0.00679294
-13.50,0.00742439
-13.50,0.00774011
-13.50,0.00805583
-13.50,0.00774011
-13.50,0.00774011
-13.50,0.00774011
-13.00,0.00805583
-13.00,0.00868727
-13.00,0.00805583
-13.00,0.00837155
-13.00,0.00837155
-13.00,0.00837155
-12.50,0.00931872
-12.50,0.00900299
-12.50,0.00931872
-12.50,0.00931872
-12.50,0.00931872
-12.50,0.00963444
-12.00,0.01058160
-12.00,0.01026588
-12.00,0.01058160
-12.00,0.01058160
-12.00,0.01026588
-12.00,0.01089732
-11.50,0.01216021
-11.50,0.01184449
-11.50,0.01216021
-11.50,0.01279165
-11.50,0.01247593
-11.50,0.01152877
-11.00,0.01310737
-11.00,0.01342309
-11.00,0.01342309
-11.00,0.01310737
-11.00,0.01342309
-11.00,0.01342309
-10.50,0.01531742
-10.50,0.01500170
-10.50,0.01500170
-10.50,0.01500170
-10.50,0.01531742
-10.50,0.01500170
-10.00,0.01689603
-10.00,0.01752747
-10.00,0.01721175
-10.00,0.01721175
-10.00,0.01721175
-10.00,0.01721175
-9.50,0.01942180
-9.50,0.01910608
-9.50,0.01879036
-9.50,0.01879036
-9.50,0.01973752
-9.50,0.01942180
-9.00,0.02194757
-9.00,0.02226329
-9.00,0.02194757
-9.00,0.02163185
-9.00,0.02068469
-9.00,0.02131613
-8.50,0.02415762
-8.50,0.02384190
-8.50,0.02447334
-8.50,0.02384190
-8.50,0.02384190
-8.50,0.02384190
-8.00,0.02699912
-8.00,0.02699912
-8.00,0.02668339
-8.00,0.02699912
-8.00,0.02763056
-8.00,0.02731484
-7.50,0.03047205
-7.50,0.03047205
-7.50,0.03047205
-7.50,0.03047205
-7.50,0.03078777
-7.50,0.03078777
-7.00,0.03457643
-7.00,0.03457643
-7.00,0.03457643
-7.00,0.03394499
-7.00,0.03394499
-7.00,0.03426071
-6.50,0.03836509
-6.50,0.03836509
-6.50,0.03836509
-6.50,0.03868081
-6.50,0.03899653
-6.50,0.03868081
-6.00,0.04310091
-6.00,0.04341663
-6.00,0.04373235
-6.00,0.04341663
-6.00,0.04341663
-6.00,0.04341663
-5.50,0.04846817
-5.50,0.04909962
-5.50,0.04846817
-5.50,0.04909962
-5.50,0.04846817
-5.50,0.04909962
-5.00,0.05509833
-5.00,0.05383544
-5.00,0.05446688
-5.00,0.05415116
-5.00,0.05478260
-5.00,0.05541405
-4.50,0.06141275
-4.50,0.06172847
-4.50,0.06109703
-4.50,0.06141275
-4.50,0.06141275
-4.50,0.06172847
-4.00,0.06867435
-4.00,0.06993723
-4.00,0.06899007
-4.00,0.06835862
-4.00,0.06930579
-4.00,0.06899007
-3.50,0.07751454
-3.50,0.07751454
-3.50,0.07688310
-3.50,0.07688310
-3.50,0.07719883
-3.50,0.07656738
-3.00,0.08698619
-3.00,0.08698619
-3.00,0.08635475
-3.00,0.08667047
-3.00,0.08698619
-3.00,0.08667047
-2.50,0.09708928
-2.50,0.09740499
-2.50,0.09677356
-2.50,0.09772072
-2.50,0.09740499
-2.50,0.09708928
-2.00,0.10908669
-2.00,0.10971814
-2.00,0.10877097
-2.00,0.10908669
-2.00,0.10908669
-2.00,0.10940241
-1.50,0.12234699
-1.50,0.12203127
-1.50,0.12266271
-1.50,0.12266271
-1.50,0.12266271
-1.50,0.12297843
-1.00,0.13750161
-1.00,0.13844879
-1.00,0.13781734
-1.00,0.13718590
-1.00,0.13750161
-1.00,0.13750161
-0.50,0.15486629
-0.50,0.15455058
-0.50,0.15455058
-0.50,0.15455058
-0.50,0.15423486
-0.50,0.15486629
0.00,0.17380959
0.00,0.17349386
0.00,0.17317814
0.00,0.17349386
0.00,0.17317814
0.00,0.17349386
0.50,0.19496292
0.50,0.19464719
0.50,0.19464719
0.50,0.19496292
0.50,0.19559437
0.50,0.19496292
1.00,0.21864203
1.00,0.21895775
1.00,0.21832630
1.00,0.21895775
1.00,0.21895775
1.00,0.21895775
1.50,0.24516264
1.50,0.24484691
1.50,0.24579407
1.50,0.24516264
1.50,0.24516264
1.50,0.24516264
2.00,0.27578762
2.00,0.27515617
2.00,0.27452472
2.00,0.27578762
2.00,0.27515617
2.00,0.27515617
2.50,0.30893835
2.50,0.30862263
2.50,0.30862263
2.50,0.30862263
2.50,0.30893835
2.50,0.30893835
3.00,0.34650922
3.00,0.34714064
3.00,0.34650922
3.00,0.34682494
3.00,0.34650922
3.00,0.34650922
3.50,0.38881588
3.50,0.38913161
3.50,0.38881588
3.50,0.38913161
3.50,0.38944733
3.50,0.38913161
4.00,0.43585837
4.00,0.43554264
4.00,0.43585837
4.00,0.43554264
4.00,0.43554264
4.00,0.43554264
4.50,0.48953101
4.50,0.48889959
4.50,0.48953101
4.50,0.48889959
4.50,0.48889959
