att,v
-15.00,0.00527961
-15.00,0.00531906
-15.00,0.00531117
-15.00,0.00527172
-15.00,0.00529539
-15.00,0.00530328
-15.00,0.00531117
-15.00,0.00529539
-14.50,0.00595025
-14.50,0.00594236
-14.50,0.00595025
-14.50,0.00595814
-14.50,0.00598970
-14.50,0.00596603
-14.50,0.00599759
-14.50,0.00595025
-14.00,0.00671558
-14.00,0.00672347
-14.00,0.00672347
-14.00,0.00676292
-14.00,0.00671558
-14.00,0.00673925
-14.00,0.00674714
-14.00,0.00669980
-13.50,0.00757558
-13.50,0.00756769
-13.50,0.00756769
-13.50,0.00759136
-13.50,0.00760714
-13.50,0.00758347
-13.50,0.00756769
-13.50,0.00757558
-13.00,0.00848293
-13.00,0.00852238
-13.00,0.00851449
-13.00,0.00851449
-13.00,0.00853027
-13.00,0.00852238
-13.00,0.00853027
-13.00,0.00853027
-12.50,0.00957174
-12.50,0.00956385
-12.50,0.00957963
-12.50,0.00956385
-12.50,0.00958752
-12.50,0.00959541
-12.50,0.00957174
-12.50,0.00957963
-12.00,0.01076312
-12.00,0.01078679
-12.00,0.01077890
-12.00,0.01078679
-12.00,0.01081835
-12.00,0.01078679
-12.00,0.01079468
-12.00,0.01078679
-11.50,0.01214386
-11.50,0.01212808
-11.50,0.01214386
-11.50,0.01208863
-11.50,0.01211230
-11.50,0.01212019
-11.50,0.01213597
-11.50,0.01210441
-11.00,0.01362717
-11.00,0.01366662
-11.00,0.01363506
-11.00,0.01365873
-11.00,0.01363506
-11.00,0.01362717
-11.00,0.01366662
-11.00,0.01367451
-10.50,0.01530773
-10.50,0.01535507
-10.50,0.01536296
-10.50,0.01535507
-10.50,0.01536296
-10.50,0.01533929
-10.50,0.01530773
-10.50,0.01533140
-10.00,0.01724077
-10.00,0.01723288
-10.00,0.01724077
-10.00,0.01724077
-10.00,0.01721710
-10.00,0.01724866
-10.00,0.01724077
-10.00,0.01724077
-9.50,0.01940261
-9.50,0.01940261
-9.50,0.01937894
-9.50,0.01936316
-9.50,0.01941050
-9.50,0.01939472
-9.50,0.01937105
-9.50,0.01938683
-9.00,0.02177749
-9.00,0.02176960
-9.00,0.02180116
-9.00,0.02175382
-9.00,0.02176960
-9.00,0.02180116
-9.00,0.02175382
-9.00,0.02177749
-8.50,0.02446796
-8.50,0.02447585
-8.50,0.02445218
-8.50,0.02449163
-8.50,0.02445218
-8.50,0.02448374
-8.50,0.02447585
-8.50,0.02448374
-8.00,0.02749770
-8.00,0.02747403
-8.00,0.02748192
-8.00,0.02748192
-8.00,0.02750559
-8.00,0.02747403
-8.00,0.02747403
-8.00,0.02749770
-7.50,0.03084304
-7.50,0.03086671
-7.50,0.03082726
-7.50,0.03086671
-7.50,0.03085093
-7.50,0.03084304
-7.50,0.03085093
-7.50,0.03083515
-7.00,0.03465388
-7.00,0.03464599
-7.00,0.03465388
-7.00,0.03463810
-7.00,0.03463810
-7.00,0.03462232
-7.00,0.03464599
-7.00,0.03465388
-6.50,0.03891445
-6.50,0.03889867
-6.50,0.03890656
-6.50,0.03892234
-6.50,0.03892234
-6.50,0.03888289
-6.50,0.03890656
-6.50,0.03890656
-6.00,0.04365631
-6.00,0.04364053
-6.00,0.04364842
