att,v
-15.00,0.01531742
-15.00,0.01594887
-15.00,0.01563314
-15.00,0.01531742
-15.00,0.01626459
-15.00,0.01563314
-14.50,0.01752747
-14.50,0.01784319
-14.50,0.01815892
-14.50,0.01815892
-14.50,0.01752747
-14.50,0.01784319
-14.00,0.01942180
-14.00,0.01973752
-14.00,0.01973752
-14.00,0.01973752
-14.00,0.01942180
-14.00,0.02005325
-13.50,0.02257902
-13.50,0.02226329
-13.50,0.02321046
-13.50,0.02257902
-13.50,0.02257902
-13.50,0.02194757
-13.00,0.02542051
-13.00,0.02542051
-13.00,0.02510479
-13.00,0.02447334
-13.00,0.02510479
-13.00,0.02510479
-12.50,0.02826200
-12.50,0.02794628
-12.50,0.02826200
-12.50,0.02794628
-12.50,0.02889344
-12.50,0.02826200
-12.00,0.03173494
-12.00,0.03141922
-12.00,0.03141922
-12.00,0.03205066
-12.00,0.03205066
-12.00,0.03173494
-11.50,0.03489215
-11.50,0.03552359
-11.50,0.03583932
-11.50,0.03583932
-11.50,0.03552359
-11.50,0.03520788
-11.00,0.04057514
-11.00,0.03962797
-11.00,0.04025942
-11.00,0.04057514
-11.00,0.04025942
-11.00,0.04025942
-10.50,0.04467952
-10.50,0.04531096
-10.50,0.04467952
-10.50,0.04531096
-10.50,0.04436380
-10.50,0.04499524
-10.00,0.05067822
-10.00,0.05036250
-10.00,0.05036250
-10.00,0.05099395
-10.00,0.05099395
-10.00,0.05036250
-9.50,0.05636121
-9.50,0.05699265
-9.50,0.05667693
-9.50,0.05667693
-9.50,0.05699265
-9.50,0.05667693
-9.00,0.06362280
-9.00,0.06393852
-9.00,0.06393852
-9.00,0.06393852
-9.00,0.06362280
-9.00,0.06362280
-8.50,0.07183156
-8.50,0.07120012
-8.50,0.07183156
-8.50,0.07183156
-8.50,0.07151584
-8.50,0.07183156
-8.00,0.08067176
-8.00,0.08004032
-8.00,0.08004032
-8.00,0.08067176
-8.00,0.08067176
-8.00,0.08067176
-7.50,0.09045912
-7.50,0.08982768
-7.50,0.09077485
-7.50,0.09014340
-7.50,0.09014340
-7.50,0.09014340
-7.00,0.10119365
-7.00,0.10150938
-7.00,0.10119365
-7.00,0.10119365
-7.00,0.10150938
-7.00,0.10150938
-6.50,0.11350679
-6.50,0.11350679
-6.50,0.11350679
-6.50,0.11350679
-6.50,0.11382251
-6.50,0.11382251
-6.00,0.12802997
-6.00,0.12708281
-6.00,0.12739854
-6.00,0.12771426
-6.00,0.12802997
-6.00,0.12708281
-5.50,0.14318460
-5.50,0.14350033
-5.50,0.14286888
-5.50,0.14286888
-5.50,0.14255317
-5.50,0.14318460
-5.00,0.16023356
-5.00,0.16054928
-5.00,0.16054928
-5.00,0.16023356
-5.00,0.16086501
-5.00,0.16054928
-4.50,0.17949258
-4.50,0.17917685
-4.50,0.18012401
-4.50,0.18043974
-4.50,0.17980829
-4.50,0.17980829
-4.00,0.20222451
-4.00,0.20254023
-4.00,0.20222451
-4.00,0.20190880
-4.00,0.20222451
-4.00,0.20222451
-3.50,0.22653507
-3.50,0.22653507
-3.50,0.22716650
-3.50,0.22621934
-3.50,0.22685079
-3.50,0.22653507
-3.00,0.25431857
-3.00,0.25400284
-3.00,0.25431857
-3.00,0.25400284
-3.00,0.25494999
-3.00,0.25463426
-2.50,0.28557497
-2.50,0.28557497
-2.50,0.28557497
-2.50,0.28525925
-2.50,0.28589070
-2.50,0.28589070
-2.00,0.31998861
-2.00,0.31998861
-2.00,0.31998861
-2.00,0.32062006
-2.00,0.32030433
-2.00,0.32030433
-1.50,0.35976952
-1.50,0.35945380
-1.50,0.35945380
-1.50,0.35976952
-1.50,0.35976952
-1.50,0.35882235
-1.00,0.40460196
-1.00,0.40333906
-1.00,0.40397051
-1.00,0.40365478
-1.00,0.40302336
-1.00,0.40333906
-0.50,0.45322305
-0.50,0.45259163
-0.50,0.45322305
-0.50,0.45322305
-0.50,0.45259163
-0.50,0.45322305
0.00,0.50752717
0.00,0.50784284
0.00,0.50879002
0.00,0.50910574
0.00,0.50815856
0.00,0.50815856
0.50,0.57035571
0.50,0.57035571
0.50,0.56972426
0.50,0.57035571
0.50,0.57067144
0.50,0.57098716
1.00,0.64044589
1.00,0.64076161
1.00,0.64107734
1.00,0.64044589
1.00,0.64013016
1.00,0.64013016
1.50,0.71842909
1.50,0.71842909
1.50,0.71779764
1.50,0.71906048
1.50,0.71874481
1.50,0.71874481
2.00,0.80588388
2.00,0.80683106
2.00,0.80651534
2.00,0.80683106
2.00,0.80651534
2.00,0.80619961
2.50,0.90470469
2.50,0.90438896
2.50,0.90438896
2.50,0.90407330
2.50,0.90502042
