att,v
-15.00,0.01561544
-15.00,0.01563122
-15.00,0.01565489
-15.00,0.01559966
-15.00,0.01560755
-15.00,0.01563911
-15.00,0.01563122
-15.00,0.01564700
-14.50,0.01754059
-14.50,0.01754848
-14.50,0.01755637
-14.50,0.01758793
-14.50,0.01755637
-14.50,0.01758004
-14.50,0.01756426
-14.50,0.01757215
-14.00,0.01973399
-14.00,0.01973399
-14.00,0.01975766
-14.00,0.01971032
-14.00,0.01970243
-14.00,0.01974977
-14.00,0.01974977
-14.00,0.01974188
-13.50,0.02221932
-13.50,0.02219566
-13.50,0.02218777
-13.50,0.02218777
-13.50,0.02215621
-13.50,0.02215621
-13.50,0.02220354
-13.50,0.02217199
-13.00,0.02492558
-13.00,0.02492558
-13.00,0.02493347
-13.00,0.02496503
-13.00,0.02493347
-13.00,0.02493347
-13.00,0.02491769
-13.00,0.02492558
-12.50,0.02798688
-12.50,0.02803422
-12.50,0.02801844
-12.50,0.02801055
-12.50,0.02801844
-12.50,0.02802633
-12.50,0.02801844
-12.50,0.02801844
-12.00,0.03143478
-12.00,0.03145056
-12.00,0.03145845
-12.00,0.03142690
-12.00,0.03145056
-12.00,0.03145056
-12.00,0.03146634
-12.00,0.03148212
-11.50,0.03534031
-11.50,0.03530086
-11.50,0.03533242
-11.50,0.03533242
-11.50,0.03534031
-11.50,0.03535609
-11.50,0.03534820
-11.50,0.03533242
-11.00,0.03967189
-11.00,0.03970345
-11.00,0.03968767
-11.00,0.03970345
-11.00,0.03969556
-11.00,0.03969556
-11.00,0.03974290
-11.00,0.03967189
-10.50,0.04453210
-10.50,0.04455576
-10.50,0.04453999
-10.50,0.04453999
-10.50,0.04454787
-10.50,0.04453210
-10.50,0.04456365
-10.50,0.04452421
-10.00,0.05003928
-10.00,0.05002350
-10.00,0.05004717
-10.00,0.05002350
-10.00,0.05003139
-10.00,0.05002350
-10.00,0.05001561
-10.00,0.05003139
-9.50,0.05622500
-9.50,0.05624078
-9.50,0.05623289
-9.50,0.05622500
-9.50,0.05622500
-9.50,0.05623289
-9.50,0.05625656
-9.50,0.05620922
-9.00,0.06312870
-9.00,0.06312081
-9.00,0.06313659
-9.00,0.06312081
-9.00,0.06311292
-9.00,0.06312081
-9.00,0.06311292
-9.00,0.06312870
-8.50,0.07083718
-8.50,0.07082929
-8.50,0.07086085
-8.50,0.07082140
-8.50,0.07079773
-8.50,0.07085296
-8.50,0.07083718
-8.50,0.07077406
-8.00,0.07943723
-8.00,0.07949246
-8.00,0.07950823
-8.00,0.07948457
-8.00,0.07945301
-8.00,0.07944512
-8.00,0.07950823
-8.00,0.07949246
-7.50,0.08923654
-7.50,0.08920498
-7.50,0.08920498
-7.50,0.08919709
-7.50,0.08918920
-7.50,0.08921287
-7.50,0.08918920
-7.50,0.08917342
-7.00,0.10009310
-7.00,0.10009310
-7.00,0.10011677
-7.00,0.10008521
-7.00,0.10010888
-7.00,0.10012466
-7.00,0.10013255
-7.00,0.10011677
-6.50,0.11232252
-6.50,0.11231463
-6.50,0.11229096
-6.50,0.11233041
-6.50,0.11229096
-6.50,0.11232252
-6.50,0.11232252
-6.50,0.11234619
-6.00,0.12605104
-6.00,0.12609048
-6.00,0.12602736
-6.00,0.12605104
-6.00,0.12609048
-6.00,0.12608260
-6.00,0.12605104
-6.00,0.12600370
-5.50,0.14141276
-5.50,0.14146011
-5.50,0.14141276
-5.50,0.14142065
-5.50,0.14144433
-5.50,0.14144433
-5.50,0.14146011
-5.50,0.14142855
-5.00,0.15875487
-5.00,0.15874697
-5.00,0.15869963
-5.00,0.15869963
-5.00,0.15870753
-5.00,0.15876275
-5.00,0.15873909
-5.00,0.15871541
-4.50,0.17806157
-4.50,0.17811680
-4.50,0.17811680
-4.50,0.17809312
-4.50,0.17808524
-4.50,0.17805368
-4.50,0.17806946
-4.50,0.17812468
-4.00,0.19986150
-4.00,0.19985360
-4.00,0.19985360
-4.00,0.19982204
-4.00,0.19982994
-4.00,0.19986938
-4.00,0.19986150
-4.00,0.19987728
-3.50,0.22428878
-3.50,0.22424932
-3.50,0.22423354
-3.50,0.22425722
-3.50,0.22428878
-3.50,0.22424932
-3.50,0.22428878
-3.50,0.22426510
-3.00,0.25162745
-3.00,0.25167477
-3.00,0.25165901
-3.00,0.25167477
-3.00,0.25169057
-3.00,0.25164321
-3.00,0.25166687
-3.00,0.25167477
-2.50,0.28246135
-2.50,0.28245348
-2.50,0.28249291
-2.50,0.28254026
-2.50,0.28243768
-2.50,0.28246924
-2.50,0.28245348
-2.50,0.28240612
-2.00,0.31707457
-2.00,0.31709033
-2.00,0.31703511
-2.00,0.31703511
-2.00,0.31701931
-2.00,0.31705877
-2.00,0.31710610
-2.00,0.31710610
-1.50,0.35593253
-1.50,0.35581419
-1.50,0.35583785
-1.50,0.35586941
-1.50,0.35586154
-1.50,0.35586941
-1.50,0.35591677
-1.50,0.35594043
-1.00,0.39946139
-1.00,0.39938247
-1.00,0.39941403
-1.00,0.39937460
-1.00,0.39940616
-1.00,0.39936671
-1.00,0.39939827
-1.00,0.39939827
-0.50,0.44828439
-0.50,0.44819760
-0.50,0.44823703
-0.50,0.44822127
-0.50,0.44824493
-0.50,0.44822127
-0.50,0.44827649
-0.50,0.44816604
