att,v
-15.0000,0.01299598
-15.0000,0.01369029
-15.0000,0.01337469
-15.0000,0.01371396
-15.0000,0.01329579
-15.0000,0.01303543
-15.0000,0.01308277
-15.0000,0.01262515
-14.5000,0.01622296
-14.5000,0.01598627
-14.5000,0.01584425
-14.5000,0.01595471
-14.5000,0.01593893
-14.5000,0.01612039
-14.5000,0.01610462
-14.5000,0.01609673
-14.0000,0.01878720
-14.0000,0.01877931
-14.0000,0.01920537
-14.0000,0.01914225
-14.0000,0.01866885
-14.0000,0.01865307
-14.0000,0.01885032
-14.0000,0.01924481
-13.5000,0.02229033
-13.5000,0.02247969
-13.5000,0.02230611
-13.5000,0.02232978
-13.5000,0.02255070
-13.5000,0.02274795
-13.5000,0.02273217
-13.5000,0.02274006
-13.0000,0.02607751
-13.0000,0.02663770
-13.0000,0.02655880
-13.0000,0.02657458
-13.0000,0.02634577
-13.0000,0.02659036
-13.0000,0.02657458
-13.0000,0.02638522
-12.5000,0.03108763
-12.5000,0.03096928
-12.5000,0.03082726
-12.5000,0.03042487
-12.5000,0.03047221
-12.5000,0.03036964
-12.5000,0.03089827
-12.5000,0.03095350
-12.0000,0.03522196
-12.0000,0.03548233
-12.0000,0.03545866
-12.0000,0.03569536
-12.0000,0.03564801
-12.0000,0.03549810
-12.0000,0.03521407
-12.0000,0.03567958
-11.5000,0.04112364
-11.5000,0.04083171
-11.5000,0.04047666
-11.5000,0.04059501
-11.5000,0.04111575
-11.5000,0.04127355
-11.5000,0.04120254
-11.5000,0.04137612
-11.0000,0.04738037
-11.0000,0.04691486
-11.0000,0.04723835
-11.0000,0.04686752
-11.0000,0.04598385
-11.0000,0.04647302
-11.0000,0.04712789
-11.0000,0.04724624
-10.5000,0.05356609
-10.5000,0.05348719
-10.5000,0.05355031
-10.5000,0.05409471
-10.5000,0.05424462
-10.5000,0.05414205
-10.5000,0.05385013
-10.5000,0.05317948
-10.0000,0.06177952
-10.0000,0.06188209
-10.0000,0.06189787
-10.0000,0.06175585
-10.0000,0.06171640
-10.0000,0.06175585
-10.0000,0.06188998
-10.0000,0.06185842
-9.5000,0.07030067
-9.5000,0.06996929
-9.5000,0.07002452
-9.5000,0.07043479
-9.5000,0.07065571
-9.5000,0.07067938
-9.5000,0.07016654
-9.5000,0.07027700
-9.0000,0.07983961
-9.0000,0.08002897
-9.0000,0.08006053
-9.0000,0.07989484
-9.0000,0.07980016
-9.0000,0.07996585
-9.0000,0.07976072
-9.0000,0.07998952
-8.5000,0.09028590
-8.5000,0.08989929
-8.5000,0.09140627
-8.5000,0.09046737
-8.5000,0.09031747
-8.5000,0.09069618
-8.5000,0.09140627
