att,v
-15.0000,-0.00729606
-15.0000,-0.00696472
-15.0000,-0.00706728
-15.0000,-0.00736706
-15.0000,-0.00731973
-15.0000,-0.00720139
-15.0000,-0.00701995
-15.0000,-0.00709884
-14.5000,-0.00744595
-14.5000,-0.00737495
-14.5000,-0.00723295
-14.5000,-0.00680694
-14.5000,-0.00683061
-14.5000,-0.00720928
-14.5000,-0.00733550
-14.5000,-0.00736706
-14.0000,-0.00739073
-14.0000,-0.00693317
-14.0000,-0.00725661
-14.0000,-0.00716984
-14.0000,-0.00716984
-14.0000,-0.00689372
-14.0000,-0.00681483
-14.0000,-0.00702783
-13.5000,-0.00718561
-13.5000,-0.00755640
-13.5000,-0.00670439
-13.5000,-0.00702783
-13.5000,-0.00683850
-13.5000,-0.00712250
-13.5000,-0.00746962
-13.5000,-0.00727239
-13.0000,-0.00678328
-13.0000,-0.00694895
-13.0000,-0.00719350
-13.0000,-0.00725661
-13.0000,-0.00718561
-13.0000,-0.00687006
-13.0000,-0.00695683
-13.0000,-0.00697261
-12.5000,-0.00713828
-12.5000,-0.00740650
-12.5000,-0.00708306
-12.5000,-0.00693317
-12.5000,-0.00668072
-12.5000,-0.00695683
-12.5000,-0.00715406
-12.5000,-0.00716984
-12.0000,-0.00674383
-12.0000,-0.00701206
-12.0000,-0.00733550
-12.0000,-0.00718561
-12.0000,-0.00665705
-12.0000,-0.00683061
-12.0000,-0.00687794
-12.0000,-0.00708306
-11.5000,-0.00699628
-11.5000,-0.00683850
-11.5000,-0.00668072
-11.5000,-0.00694106
-11.5000,-0.00698839
-11.5000,-0.00705939
-11.5000,-0.00682272
-11.5000,-0.00670439
-11.0000,-0.00706728
-11.0000,-0.00705150
-11.0000,-0.00665705
-11.0000,-0.00676750
-11.0000,-0.00682272
-11.0000,-0.00704361
-11.0000,-0.00703572
-11.0000,-0.00680694
-10.5000,-0.00675172
-10.5000,-0.00651505
-10.5000,-0.00675961
-10.5000,-0.00680694
-10.5000,-0.00683850
-10.5000,-0.00667283
-10.5000,-0.00649927
-10.5000,-0.00660183
-10.0000,-0.00683850
-10.0000,-0.00646772
-10.0000,-0.00652294
-10.0000,-0.00654661
-10.0000,-0.00676750
-10.0000,-0.00668861
-10.0000,-0.00662550
-10.0000,-0.00638094
-9.5000,-0.00658605
-9.5000,-0.00712250
-9.5000,-0.00659394
-9.5000,-0.00669650
-9.5000,-0.00645194
-9.5000,-0.00629416
-9.5000,-0.00641250
-9.5000,-0.00656239
