att,v
-15.0000,0.01210533
-15.0000,0.01244469
-15.0000,0.01254728
-15.0000,0.01256307
-15.0000,0.01259463
-15.0000,0.01242890
-15.0000,0.01242101
-15.0000,0.01227895
-14.5000,0.01257885
-14.5000,0.01258674
-14.5000,0.01289453
-14.5000,0.01317075
-14.5000,0.01327335
-14.5000,0.01330491
-14.5000,0.01274458
-14.5000,0.01279193
-14.0000,0.01376265
-14.0000,0.01397573
-14.0000,0.01358903
-14.0000,0.01362849
-14.0000,0.01373108
-14.0000,0.01402309
-14.0000,0.01376265
-14.0000,0.01404676
-13.5000,0.01423617
-13.5000,0.01434666
-13.5000,0.01471758
-13.5000,0.01482018
-13.5000,0.01474915
-13.5000,0.01452028
-13.5000,0.01437822
-13.5000,0.01426774
-13.0000,0.01533316
-13.0000,0.01545154
-13.0000,0.01539629
-13.0000,0.01511218
-13.0000,0.01527002
-13.0000,0.01544364
-13.0000,0.01560148
-13.0000,0.01549100
-12.5000,0.01621706
-12.5000,0.01671425
-12.5000,0.01665112
-12.5000,0.01645382
-12.5000,0.01625652
-12.5000,0.01624863
-12.5000,0.01648539
-12.5000,0.01643014
-12.0000,0.01769286
-12.0000,0.01755870
-12.0000,0.01736140
-12.0000,0.01726669
-12.0000,0.01732983
-12.0000,0.01770865
-12.0000,0.01775600
-12.0000,0.01759027
-11.5000,0.01871093
-11.5000,0.01877406
-11.5000,0.01899504
-11.5000,0.01890823
-11.5000,0.01893980
-11.5000,0.01854520
-11.5000,0.01868725
-11.5000,0.01853731
-11.0000,0.02031300
-11.0000,0.02007624
-11.0000,0.02003678
-11.0000,0.01993419
-11.0000,0.02052609
-11.0000,0.02037614
-11.0000,0.02024987
-11.0000,0.01993419
-10.5000,0.02177302
-10.5000,0.02200978
-10.5000,0.02211238
-10.5000,0.02185194
-10.5000,0.02161518
-10.5000,0.02154415
-10.5000,0.02187562
-10.5000,0.02188351
-10.0000,0.02342245
-10.0000,0.02366710
-10.0000,0.02366710
-10.0000,0.02376181
-10.0000,0.02384862
-10.0000,0.02353294
-10.0000,0.02340666
-10.0000,0.02318569
-9.5000,0.02578215
-9.5000,0.02579005
-9.5000,0.02559275
-9.5000,0.02546648
-9.5000,0.02552172
-9.5000,0.02567167
-9.5000,0.02560853
-9.5000,0.02570323
-9.0000,0.02752629
-9.0000,0.02792878
-9.0000,0.02803137
-9.0000,0.02788142
-9.0000,0.02788932
-9.0000,0.02777883
-9.0000,0.02784196
-9.0000,0.02781040
-8.5000,0.03058049
-8.5000,0.03028848
-8.5000,0.03033583
-8.5000,0.03039108
-8.5000,0.03067519
-8.5000,0.03051735
-8.5000,0.03039108
-8.5000,0.03010697
-8.0000,0.03291652
-8.0000,0.03324009
-8.0000,0.03341371
-8.0000,0.03338214
-8.0000,0.03312171
-8.0000,0.03312960
-8.0000,0.03311381
-8.0000,0.03336636
-7.5000,0.03622326
-7.5000,0.03614434
-7.5000,0.03634164
-7.5000,0.03634164
-7.5000,0.03616802
-7.5000,0.03619169
