att,v
-15.0000,0.00739381
-15.0000,0.00730700
-15.0000,0.00708602
-15.0000,0.00701500
-15.0000,0.00708602
-15.0000,0.00748062
-15.0000,0.00753587
-15.0000,0.00747273
-14.5000,0.00701500
-14.5000,0.00721230
-14.5000,0.00746484
-14.5000,0.00753587
-14.5000,0.00745695
-14.5000,0.00716494
-14.5000,0.00710970
-14.5000,0.00721230
-14.0000,0.00731489
-14.0000,0.00725175
-14.0000,0.00720440
-14.0000,0.00719651
-14.0000,0.00710181
-14.0000,0.00737013
-14.0000,0.00742538
-14.0000,0.00748851
-13.5000,0.00712548
-13.5000,0.00732278
-13.5000,0.00706235
-13.5000,0.00706235
-13.5000,0.00706235
-13.5000,0.00711759
-13.5000,0.00728332
-13.5000,0.00721230
-13.0000,0.00730700
-13.0000,0.00713337
-13.0000,0.00709392
-13.0000,0.00703078
-13.0000,0.00703078
-13.0000,0.00729122
-13.0000,0.00744116
-13.0000,0.00763846
-12.5000,0.00710181
-12.5000,0.00715705
-12.5000,0.00737803
-12.5000,0.00729911
-12.5000,0.00729911
-12.5000,0.00704656
-12.5000,0.00709392
-12.5000,0.00723597
-12.0000,0.00740959
-12.0000,0.00745695
-12.0000,0.00740959
-12.0000,0.00722808
-12.0000,0.00710970
-12.0000,0.00738592
-12.0000,0.00752008
-12.0000,0.00752797
-11.5000,0.00725965
-11.5000,0.00748851
-11.5000,0.00729911
-11.5000,0.00729911
-11.5000,0.00722019
-11.5000,0.00707024
-11.5000,0.00710970
-11.5000,0.00736224
-11.0000,0.00752008
-11.0000,0.00735435
-11.0000,0.00735435
-11.0000,0.00740959
-11.0000,0.00725965
-11.0000,0.00718862
-11.0000,0.00744116
-11.0000,0.00741749
-10.5000,0.00739381
-10.5000,0.00713337
-10.5000,0.00704656
-10.5000,0.00737013
-10.5000,0.00742538
-10.5000,0.00727543
-10.5000,0.00706235
-10.5000,0.00709392
-10.0000,0.00754376
-10.0000,0.00735435
-10.0000,0.00734646
-10.0000,0.00704656
-10.0000,0.00710970
-10.0000,0.00714916
-10.0000,0.00747273
-10.0000,0.00723597
-9.5000,0.00740170
-9.5000,0.00719651
-9.5000,0.00737803
-9.5000,0.00742538
-9.5000,0.00765425
-9.5000,0.00721230
-9.5000,0.00714916
-9.5000,0.00731489
-9.0000,0.00735435
-9.0000,0.00746484
-9.0000,0.00721230
-9.0000,0.00721230
-9.0000,0.00708602
-9.0000,0.00740959
-9.0000,0.00742538
-9.0000,0.00754376
-8.5000,0.00733068
-8.5000,0.00735435
-8.5000,0.00748851
-8.5000,0.00748851
-8.5000,0.00740959
-8.5000,0.00710970
-8.5000,0.00717284
-8.5000,0.00740959
-8.0000,0.00762268
-8.0000,0.00740959
-8.0000,0.00727543
-8.0000,0.00735435
-8.0000,0.00736224
-8.0000,0.00727543
-8.0000,0.00758322
-8.0000,0.00752797
-7.5000,0.00729911
-7.5000,0.00726754
-7.5000,0.00734646
-7.5000,0.00763846
-7.5000,0.00778052
-7.5000,0.00731489
-7.5000,0.00710181
-7.5000,0.00724386
-7.0000,0.00744905
-7.0000,0.00763846
-7.0000,0.00748062
-7.0000,0.00739381
-7.0000,0.00745695
-7.0000,0.00760689
-7.0000,0.00772527
-7.0000,0.00752797
-6.5000,0.00721230
-6.5000,0.00747273
-6.5000,0.00754376
-6.5000,0.00778052
-6.5000,0.00752797
-6.5000,0.00734646
-6.5000,0.00737013
-6.5000,0.00767003
-6.0000,0.00749641
-6.0000,0.00727543
-6.0000,0.00741749
-6.0000,0.00737013
-6.0000,0.00749641
-6.0000,0.00746484
-6.0000,0.00754376
-6.0000,0.00733857
-5.5000,0.00742538
-5.5000,0.00733068
-5.5000,0.00770949
-5.5000,0.00784365
-5.5000,0.00777263
-5.5000,0.00746484
-5.5000,0.00732278
-5.5000,0.00743327
-5.0000,0.00729911
-5.0000,0.00754376
-5.0000,0.00750430
-5.0000,0.00736224
-5.0000,0.00726754
-5.0000,0.00730700
-5.0000,0.00737013
-5.0000,0.00746484
-4.5000,0.00728332
-4.5000,0.00759111
-4.5000,0.00755165
-4.5000,0.00779630
-4.5000,0.00763057
-4.5000,0.00728332
-4.5000,0.00722019
-4.5000,0.00759111
-4.0000,0.00781998
-4.0000,0.00742538
-4.0000,0.00737803
-4.0000,0.00747273
-4.0000,0.00781998
-4.0000,0.00782787
-4.0000,0.00798571
-4.0000,0.00736224
-3.5000,0.00767792
-3.5000,0.00781209
